name,service_id,alternative_name,parent_service_type,service_type,alt_type,short_desc ,description ,outcomes,how_to_access,organization,service_area,audience,eligibility,documentation_required,facilities,languages,urls,emails,phones,hours_available,staff_contacts,fees,method_of_payment,funding_sources,wait,Source,Last Updated,Notes
"Samaritan’s Purse International Relief 
",79,,Services,"Construction, Repairs, Volunteering",Faith Communities,"Samaritan’s Purse is currently organizing volunteers to work on repair and rebuild projects in Nassau County, NY",,Repair and rebuilding,Visit http://spvolunteernetwork.samaritanspurse.org/nassau-county-ny-rebuild-project/,"Samaritan’s Purse International Relief 
",Nassau County,Volunteers; Disaster survivors,,,,,http://spvolunteernetwork.samaritanspurse.org/nassau-county-ny-rebuild-project/, disasterrelief@samaritan.org,(828) 262-1980,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
City property tax relief - NY Department of Finance ,80,,Financial Assistance,"Other Financial Assistance for Housing, For Home Owners",Financial Assistance & Help for Homeowners,"On May 29, 2013, the NYC Department of Finance mailed revised Market Values for more than 88,000 properties affected by Hurricane Sandy.  
","The new values for affected properties can be viewed on the Notice of Property Value page or by entering an affected property’s borough, block, and lot number on the NY Department of Finance website. If you received a Revised Notice of Property Value due to Sandy and you believe your property value on the notice is too high, you can file an appeal with the New York City Tax Commission. To learn more, contact 311 or visit the Tax Commission’s website.",Lower property taxes,"Visit http://www.nyc.gov/html/dof/html/property/property_nopv.shtml  or enter the affected property’s borough, block, and lot number here:http://www.nyc.gov/html/dof/html/jump/nycproperty.shtml ",NY Department of Finance,New York City,"Homeowners, Disaster survivors",Homeowners affected by Sandy,,,,http://www.nyc.gov/html/dof/html/property/property_nopv.shtml ,,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Center for New York City Neighborhoods - Counseling and legal services,81,CNYCN,Services,"Referral Services, For Home Owners, Insurance Assistance",Financial Assistance & Help for Homeowners,"The Center for New York City Neighborhoods can connect homeowners to a city-wide network of free housing counseling and legal services to provide advice or assistance with mortgages, repair costs, insurance issues, and contractor fraud in order to preserve ownership. ",,Referral to a range of services for homeowners effected by Sandy,Call 646-786-0888 or dial 311 and ask for CNYCN. ,CNYCN,New York City,"Homeowners, Disaster survivors",Homeowners affected by Sandy,,"17 Battery Place South, Suite 723, New York, NY 10004",,http://cnycn.org/ ,info@cnycn.org,(646) 786-0888,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,646-786-0888 or dial 311 and ask for CNYCN
NYS Department of Financial Services - Sandy Hotline,82,DFS,Services,Referral Services,Financial Assistance & Help for Homeowners,"Information on private insurance options, how to file a complaint or report fraud and more",,Referral to a range of services for homeowners effected by Sandy,Call 1-800-339-1759,DFS,New York State,"Homeowners, Disaster survivors",Homeowners affected by Sandy,,,,http://www.dfs.ny.gov/consumer/disascon.htm,,(800) 339-1759,"Monday through Friday, 8:30am to 4:30pm",,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
National Flood Insurance Program,83,,Services,Insurance Assistance,Financial Assistance & Help for Homeowners,FloodSmart.gov contains information on coverage for your home or business through the National Flood Insurance Program,,Flood insurance,Visit FloodSmart.gov or call 1-888-379-9531,National Flood Insurance Program,United States,Homeowners,,,,,https://www.floodsmart.gov,FloodSmart@dhs.gov,(888) 379-9531,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Mortgage Assistance Program,84,MAP,Financial Assistance,Mortgage Assistance,Financial Assistance & Help for Homeowners,"MAP provides up to $25,000 in 0% interest loans to eligible NYC homeowners who have fallen behind on their mortgages.  
","MAP is a fund administered by Sustainable Neighborhoods, an affiliate of the Center for New York City Neighborhoods, and funded by the city. It provides up to $25,000 in 0% interest loans to eligible NYC homeowners who have fallen behind on their mortgages.  Visit www.cnycn.org/map for more information.  Homeowners need to apply through a qualified housing counselor or legal service provider.  Please call 311 or 646-786-0888 to find a free service provider who will apply on your behalf at no cost. ",Mortgage assistance,"Visit www.cnycn.org/map, call 311 or 646-786-0888. Homeowners need to apply through a qualified housing counselor or legal service provider. 
",Mortgage Assistance Program,New York City,Homeowners,To qualify for MAP a homeowner must: Work with a free housing counselor or legal services provider; Live in a 1-4 family house or condominium that is their primary residence; Live in one of the five boroughs of New York City; Have an annual household income at or below 165% of area median income (AMI),,"17 Battery Place South, Suite 723, New York, NY 10004",, www.cnycn.org/map,,(646) 786-0888,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,call 311 or 646-786-0888
New York Department  of State - Division of Consumer Protection ,85,,Services,Other Services,Financial Assistance & Help for Homeowners,"The New York Department  of State warns consumers affected by Hurricane 
Sandy to beware of price gouging  and home improvement, real estate 
appraisal and charity scams. ",,Consumer protection,Consumers encountering  these issues are encouraged to immediately report them to the DOS using the  online Consumer  Complaint Form or by calling our toll-free hotline at 1-800-697-1220.,New York Department  of State - Division of Consumer Protection ,New York State,"Homeowners, Disaster survivors",,,,,https://www.dos.ny.gov/consumerprotection/scams/sandyscams.html,, (800) 697-1220,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
NYC Rapid Repairs Program,86,,Services,Repairs,Financial Assistance & Help for Homeowners,"Between November 2012 and March 2013, Rapid Repairs restored heat, power and hot water in more than 11,700 homes representing over 20,000 residential units affected by Hurricane Sandy. ","Rapid Repairs provided free emergency heat, hot water, and electricity so that homeowners could shelter in place while making more permanent repairs to their homes. When Rapid Repairs completed work on your home, an independent quality inspector verified that the installed equipment was working properly. All maintenance and repairs are now the responsibility of the homeowner.",Emergency repairs,"The program is no longer active, for homeowners who received emergency repair services from Rapid Repairs can call 311 with any questions.",NYC Rapid Repairs Program,New York City,"Homeowners, Disaster survivors",,,,,,,311,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,call 311
AAFE Community Development Fund,87,,Financial Assistance,"Other Financial Assistance, For Home Owners",Financial Assistance & Help for Homeowners,"AAFE offers rehabilitation, conversion, and emergency repair loans.","Rehabilitation loans (to help homebuyers repair the homes), Conversion Loans (to pay for the costs of making single-family homes into two-  or three-family homes), Emergency Repair Loans (to cover the costs of emergency repairs on owner-occupied homes, especially for seniors, the disabled, and families living with the disabled).",Loans for homeowners,Visit or call (212)-964-2288 or visit http://aafecdf.org,AAFE CDF,New York City,"Homeowners, Low-income","To qualify for AAFE CDF loans, a prospective client must meet all of the following criteria:
Own a 1-family home in one of the five boroughs ofNew York City; Meet the income eligibility requirements.",,"2 Allen Street, New York, NY 10002; 133-04 39th Avenue, Flushing, NY 11354; 807 48th Street, Brooklyn, NY 11220",,http://aafecdf.org,,(212) 964-2288; (718) 961-0888; (718) 686-8223,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"Manhattan Office: 212-964-2288
Queens Office: (718) 961-0888
Brooklyn Office: (718) 686-8223"
EmPower New York ,88,EmPower,Services,"For Renters, For Home Owners, Other Housing Services",Financial Assistance & Help for Homeowners,EmPower New York (EmPower) provides energy efficiency services at no cost to income-eligible households. ,"The program is administered by the New York State Energy Research and Development Authority (NYSERDA), with implementation support from Honeywell International. EmPower provides measures to reduce energy use, such as: Insulation Heating system upgrades; High efficiency lighting; Replacement of inefficient refrigerators and freezers with new high-efficiency models; Strategic air sealing; Services are provided through a network of participating contractors. There no charge for these services. You may receive services even if you have not been affected by the storm.",Energy efficiency services for both renters and homeowners,Call 800-263-0960 and requesting a Storm Relief EmPower NY application. ,New York State Energy Research and Development Authority (NYSERDA),New York State,"Homeowners, Renters, Low-income","You may be eligible if the following is true: Your household income is at or below 60% of State median; You are an electricity or natural gas customer of Central Hudson, Con Edison, National Grid, NYSEG of Orange and Rockland, or heat by oil or propane; You reside in a building with 100 units or less; You are responsible for payment of utility bills; If your home has been damaged by Hurricane Sandy you may still qualify for services through EmPower even if you have been previously served. ",,,,https://www.nyserda.ny.gov/Energy-Efficiency-and-Renewable-Programs/Residential/Programs/Low-Income-Assistance/EmPower-Overview.aspx,info@nyserda.ny.gov,(800) 263-0960,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Governor Cuomo’s Disaster Homeownership Repair and Rebuilding Fund ,90,,Financial Assistance,Other Services for Home Owners,Financial Assistance & Help for Homeowners,"The grant can provide up to an additional $10,000 for Survivors who have already qualified for FEMA Housing Assistance and received the Max Grant of $31,900, and the FEMA award did not cover the full cost of making essential repairs. ","There is no application or method for individuals to apply to the HRRF program. To be considered for 
eligibility under the HRRF, homeowners must first register for disaster assistance through FEMA’s Individuals and Households Program (IHP). The maximum FEMA IHP award is $31,900. FEMA will automatically send HCR information on individuals and households who have registered and received the maximum disaster  award. 
",Funding for disaster repairs,Automatic referral when applying for FEMA funds.,"New York City, Westchester",New York State,"Homeowners, Disaster survivors","May be eligible if: You live in the five boroughs of New York City or the counties of Westchester, 

• You have to rebuild or substantially repair your primary residence because of damage from 
Hurricane Sandy. 
• You have already qualified for a FEMA housing assistance grant capped at $31,900. 
• Your FEMA grant DID NOT cover the full cost of damage to your home according to FEMA’s 
appraisal. 
• New funding WOULD NOT duplicate assistance you are already receiving from other government agencies or your personal insurance. 
",,,,http://www.nyshcr.org/assets/documents/HRRF.Factsheet.WEB.pdf,,(855) 697-7263,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,(855) NYS-SANDY [855 697-7263] 
NYS Recovery Hotline,91,,Services,Referral Services,Financial Assistance & Help for Homeowners,New York State's referral line for Sandy assistance,,Referral to a range of services and programs,Call (855) NYS-SANDY [855 697-7263],New York State,New York State,Disaster survivors,,,,,,,(855) 697-7263,8:30am-4:30pm weekdays,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,(855) NYS-SANDY [855 697-7263]
Home Affordable Modification Program,92,HAMP,Financial Assistance,Mortgage Assistance,Financial Assistance & Help for Homeowners,"If you are not unemployed, but you’re still struggling to make your mortgage payments, you may be eligible for the Home Affordable Modification Program. HAMP is a federal program that may lower your monthly mortgage payments in order to make them more affordable and sustainable for the long-term.",,Mortgage modification,Homeowners should contact their mortgage servicer to begin the HAMP evaluation process. Visit http://www.makinghomeaffordable.gov/programs/lower-payments/Pages/hamp.aspx for more information.,Departments of Treasury and HUD,United States,Homeowners,"You may be eligible for HAMP if you meet all of the following criteria: You obtained your mortgage on or before January 1, 2009;  You owe up to $729,750 on your primary residence or single unit rental property; You owe up to $934,200 on a 2-unit rental property; $1,129,250 on a 3-unit rental property; or $1,403,400 on a 4-unit rental property; The property has not been condemned; You have a financial hardship and are either delinquent or in danger of falling behind on your mortgage payments (non-owner occupants must be delinquent in order to qualify); You have sufficient, documented income to support a modified payment; You must not have been convicted within the last 10 years of felony larceny, theft, fraud or forgery, money laundering or tax evasion, in connection with a mortgage or real estate transaction.",,,160 languages,http://www.makinghomeaffordable.gov/programs/lower-payments/Pages/hamp.aspx,,(888) 995-4673,24/7,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,888-995-HOPE (4673)
Homeowner's HOPE Hotline,93,,Services,"Financial Councelling, Mortgage Assistance, Referral Services",Financial Assistance & Help for Homeowners,"Call 888-995-HOPE (4673) for free, comprehensive foreclosure assistance and housing counseling services around-the-clock. Call now to get assistance with questions you might have about getting help with your mortgage and to see if you are eligible for the Making Home Affordable®​ Program.",,Mortgage modification,Call 888-995-HOPE (4673) ,HUD,United States,Homeowners,,,,160 languages,http://www.makinghomeaffordable.gov/Pages/homeowners_hopehotline.aspx,,(888) 995-4673,24/7,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Home Energy Assistance Program,94,HEAP,Financial Assistance,"Utilities Assistance, For Home Owners, For Renters",Financial Assistance & Help for Homeowners,HEAP is a federally funded program that assists eligible households with grants to pay their energy heating costs. The program consists of two major components; regular and emergency benefits.,"If households receive a HEAP benefit, the benefit does not have to be paid back. Emergency benefits are offered in addition to the regular HEAP benefits. HRA/DSS administers the program in New York City. HEAP grants are $40 to $440 a year. ",Utilities assistance,Call 800-692-0557. List of local HEAP offices can be found here - http://www.nyc.gov/html/hra/html/services/energy.shtml,HRA,New York City,"Renters, Homeowners, Low-income",,,,,http://www.nyc.gov/html/hra/html/services/energy.shtml,,(800) 692-0557,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
"HEAT LINE 
",95,,"Services, Financial Assistance","Financial Assistance, Access & Functional Needs",Financial Assistance & Help for Homeowners,The Heat Line program functions as the homebound unit for HEAP. Heat Line staff verifies whether a customer will have a medical hardship in the event a public utility disconnects services in a building.,"Utility disconnection often occurs as a result of a landlord not paying for the utilities, and can  affect the hallway lights, elevators or the heating system. If there is someone living in the building with a medical hardship, the utility  companies must contact the Heat Line to prevent the disconnection. Heat  Line will verify the hardship within 30 days.",Utilities assistance,Call 212-331-3150,HRA,New York City,"Renters, Homeowners, Low-income, Disabled, Seniors",,,,,http://www.nyc.gov/html/hra/html/services/energy.shtml,,(212) 331-3150,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Hope Coalition America,96,,Services,"Referral Services, Financial Councelling",Financial Assistance & Help for Homeowners,Hope Coalition America provides financial and economic assistance to those affected by natural disasters.,"Our counselors include full-time employees and volunteers from the banking, financial services and insurance industries. Through the HOPE Crisis Hotline and our on-site counseling centers, they help clients recover financially from natural disasters, foreclosures, and other emergencies. Services we offer include: Pre-disaster preparedness seminars; Emergency budget counseling; Emergency credit management; Assistance with deferring mortgage payments; Assistance communicating with your creditors; Referrals to government and private agencies; Assistance with obtaining copies of destroyed financial documents.Insurance claims assistance; The EFFAK/PDPG",Finacial counceling and referrals,Call 917-477-2800 or 917-477-2823 or visit http://www.operationhope.org/hopecenter.harlemny ,Hope Coalition America,New York City,"Disaster survivors, Renters, Homeowners, Low-income",,,"2511 Frederick Douglass Boulevard, New York, NY 10030 ",,http://www.operationhope.org/hopecenter.harlemny ,,(917) 477-2812; (917) 477-2823,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
LISC - Multifamily Loan Program,97,,Financial Assistance,Construction Assistance,Financial Assistance & Help for Homeowners,"The Build It Back Multifamily Loan Program provides funding for repairs  and resiliency improvements to eligible multifamily properties that  sustained damage due to Hurricane Sandy. Eligible properties include  rental buildings, condominiums, and co-operatives within New York City. 
Additionally, reimbursement assistance may be provided to eligible property owners who completed Hurricane Sandy repair work with personal fund","The program offers ‘evaporating loans' with zero payments and zero interest to cover the cost of work to repair damage from the storm and improve the resilience of residential buildings to future storms. Loans evaporate at the end of five to fifteen-year terms and no repayment is required unless the property is sold or refinanced during the loan term. Assistance is provided in the form of a grant to owners of individual condominium and co-operative units located in buildings with 
five or more units.",Financial assistance for repairs,Contact Matt Charney at mcharney@lisc.org,LISC,New York City,"Disaster survivors, Homeowners",,,,,http://www.lisc.org/nyc/programs/hurricane_sandy_recovery/index.php,,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
"Neighborhood Revitalization NYC (NRNYC), LISC - Home Repair Program ",98,,Services,Repairs,Financial Assistance & Help for Homeowners,The program will provide a range of non-structural and structural repairs to between 400 and 600 1-4 unit homes in New York City. Participants in this program will be low-income homeowners not currently registered or eligible for the New York City Build it Back. ,,Repair and rebuilding, Homeowners interested in being candidates for this program can call NRNYC at 212-455-9309 for more information.,LISC,New York City,"Disaster survivors, Homeowners",,,,,http://www.lisc.org/nyc/programs/hurricane_sandy_recovery/index.php,,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
 MCC Rockaway Robin Hood Recovery Fund ,99,,Financial Assistance,"Other Financial Assistance for Housing, For Home Owners",Financial Assistance & Help for Homeowners,"The fund was created to provide immediate financial assistance to homeowners affected by Hurricane Sandy. The Fund provides eligible homeowners with up to $4,000 in assistance in the form of a grant.","MCC staff will determine the eligible use of funds after reviewing your application. Possible uses include:
o Emergency or preventative repairs, including:  Heating systems, Electrical panels, Health & safety, Weatherization measures, Sealing of building envelope
o Mold remediation
o Other repairs as part of a larger rebuilding project
o Gap financing to help homeowners qualify for other repair programs
o Development of scope of work for repairs or contractor estimates",Financial assistance for repairs,Call 718-471-3724 to be connected with a certified housing counselor who will work with you to complete your application and resolve other housing issues.,Margaret Community Corporation,Far Rockaway,"Disaster survivors, Homeowners","Far ROCKaway homeowners with property damage to their primary residence from Hurricane Sandy, may be eligible. Homeowners of 1-4 family properties are eligible. Priority will go to applicants in Evacuation Zones A & B.",,"325 Beach 37th Street, Far Rockaway NY 11691",,http://www.margert.org/,info@margert.org,(718) 471-3724,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Modest Needs,100,,Financial Assistance,Individual Financial Assistance,Financial Assistance & Help for Homeowners,"Modest Needs offers grants to low-income but generally self-sufficient households, displaced workers struggling to return to the workforce, permanently disadvantaged persons struggling to afford medical care, and small non-profit organizations.","Grants are designed: To prevent otherwise financially self-sufficient individuals and families from entering the cycle of poverty, when this might be avoided with a small amount of well-timed financial assistance; To restore the financial self-sufficiency of individuals who are willing to work but are temporarily unemployed by providing these persons with the means to return to work; To empower permanently disadvantaged individuals who otherwise live within their limited means to continue to live independently, despite a temporary, unexpected financial set-back related to their medical conditions; and To strengthen small non-profit organizations by providing a forum whereby such organizations can apply directly to the general public for the help they need to complete the relatively inexpensive projects that will allow them to better serve their clients and communities.",Financial assistance,Visit https://www.modestneeds.org/for-applicants/grants-types-self-sufficiency.asp to learn about grant qualification guidelines and the application process.,Modest Needs,United States,"Low-income, unemployed, Veterans",Visit https://www.modestneeds.org/about-us/grants-types-self-sufficiency.asp,,,,https://www.modestneeds.org/,general.questions@modestneeds.org,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Project Restore HOPE,101,,Services,"Financial Councelling, Small Business Financial Assistance",Financial Assistance & Help for Homeowners,"Project Restore HOPE: Hurricane Sandy will provide long-term financial recovery information, guidance and empowerment services to small businesses, families and individuals devastated by the superstorm.",The effort offers the following financial guidance and assistance: Disaster Recovery Budget Guidance; Financial Case Management and Counseling; Insurance Claim Assistance; Government and Private Agency Referrals; Lost Document Recovery Assistance; Grant and Loan Application Assistance; Assistance Working with Creditors,Financial counseling,Call the toll-free hotline at 888-388-HOPE (4673),Operation Hope,United States,Disaster survivors,,,"2511 Frederick Douglass Boulevard, New York, NY 10030",,http://www.operationhope.org/prh-sandy,,(888) 388-4673,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Project Warmth,102,,Financial Assistance,Utilities Assistance,Financial Assistance & Help for Homeowners,Project Warmth is an emergency assistance program administered by United Way of Long Island to help families and individuals with energy emergencies.,"Program Highlights: One-time grant for fuel, plus an additional amount for fuel-related electricity. The heating grant may be used to pay for any fuel source such as oil, gas, electric, propane, etc.",Utilities assistance,"The Rockaways: Call NYC's 311 Hotline; Nassau County
Department of Senior Citizen Affairs - 516-227-7386; Suffolk County Department for the Aging - 631-853-8326",United Way of Long Island,"Far Rockaway, Suffolk County, Nassau County",Low-income,"Among the eligibility guidelines applicants must meet are:Residency in Nassau County, Suffolk County or the Rockaway area in Queens (LIPA service area);  Show a heating and/or fuel-related electric bill in applicant’s name and address that is in termination, pending disconnect or severely overdue (for any fuel source) or be financially unable to secure heating oil/propane/kerosene etc. when the tank is empty/near empty; Demonstrate financial hardship and provide an acceptable explanation for arrears; Applicant may only receive one fuel and/or one fuel related electric assistance once within the program year; HEAP eligible clients must apply to HEAP before Project Warmth.",,"819 Grand Boulevard, Deer Park, NY 11729 ",,http://www.unitedwayli.org/contact,liveunited@unitedwayli.org,(631) 940-3700,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
U.S. Internal Revenue Service  - Tax Relief ,103,,Financial Assistance,Other Financial Assistance,Financial Assistance & Help for Homeowners,Federal tax laws allow the Internal Revenue Service (IRS) to grant relief to taxpayers who are victims of a Presidential disaster declaration. ,"This relief includes postponing tax deadlines to provide you with extra time to file and pay before you will be assessed any penalty, additional amount, or addition to the tax, or abating your interest for periods for which you received an extension of time to file tax returns and pay taxes because you were located in a Presidentially declared disaster area.",Tax Relief,Call: 1-800-829-3676  or visit http://www.irs.gov/uac/Newsroom/Help-for-Victims-of-Hurricane-Sandy,IRS," Bronx, Brooklyn, Nassau, Manhattan, Orange, Putnam, Queens, Staten Island, Rockland, Sullivan, Suffolk, Ulster, Westchester",DIsaster survivors,,,,,http://www.irs.gov/uac/Newsroom/Help-for-Victims-of-Hurricane-Sandy,, (800) 829-3676 ,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
U.S. Social Security Administration ,104,,Services,Benefits Assistance,Financial Assistance & Help for Homeowners,Help is available from the Social Security Administration (SSA) in expediting delivery of checks delayed by the disaster and in applying for Social security disability or survivor benefits,,Benefits Assistance,Call (646) 412-0979 or visit http://www.socialsecurity.gov/,Social Security Administration,United States,"Disaster survivors, Individuals,",,,,,http://www.socialsecurity.gov/,,(800) 772-1213 ,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
City Harvest - Food Distribution,105,,Services,Food/Meals & Pantry,Food,"The American Red Cross, City Harvest, and the Food Bank for New York City are partnering to provide food through their networks of soup kitchens, food pantries, mobile pantries and partner distribution points in Hurricane Sandy-affected areas.  ","  For the most up-to-date information about feeding locations and hours of distributions, please call the organizations directly at: (646) 412-0979 or www.cityharvest.org  
","Food, Pantries ","  For the most up-to-date information about feeding locations and hours of distributions, please call the organizations directly at: (646) 412-0979 or www.cityharvest.org  
",City Harvest,New York City,"Individuals, Families",,,,,"www.cityharvest.org  
",,(646) 412-0979,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Food Bank of NYC - Food Distribution,106,,Services,Food/Meals & Pantry,Food,"The American Red Cross, City Harvest, and the Food Bank for New York City are partnering to provide food through their networks of soup kitchens, food pantries, mobile pantries and partner distribution points in Hurricane Sandy-affected areas.","  For the most up-to-date information about feeding locations and hours 
of distributions, please call the organizations directly at: (212) 566-7855 or www.foodbanknyc.org/news/food-program-locator ","Food, Pantries","  For the most up-to-date information about feeding locations and hours 
of distributions, please call the organizations directly at: (212) 566-7855 or www.foodbanknyc.org/news/food-program-locator ",Food Bank of NYC,New York City,"Individuals, Families",,,"39 Broadway, New York, NY 10006 ",,www.foodbanknyc.org/news/food-program-locator ,,(212) 566-7855,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
American Red Cross of Greater New York - Food Distribution,107,,Services,Food/Meals & Pantry,Food,"The American Red Cross, City Harvest, and the Food Bank for New York City are partnering to provide food through their networks of soup kitchens, food pantries, mobile pantries and partner distribution points in Hurricane Sandy-affected areas.","  For the most up-to-date information about feeding locations and hours 
of distributions, please call the organizations directly at: 1-877-RED-CROSS (877-733-2767) or www.nyredcross.org ","Food, Pantries","  For the most up-to-date information about feeding locations and hours 
of distributions, please call the organizations directly at: 1-877-RED-CROSS (877-733-2767) or www.nyredcross.org ",American Red Cross of Greater New York,New York City,"Individuals, Families",,,"520 West 49th Street, New York , NY 10019",,www.nyredcross.org ,,(877) 733-2767,,,,,,,New York Hurricane Sandy Disaster Recovery Resources and http://www.redcross.org/ny/new-york,,1-877-RED-CROSS (877-733-2767)
Dental Lifeline Network,108,formerly the National Foundation of Dentistry for the Handicapped,Services,Medical/Health Care,Health and Crisis Counseling,"Dental Lifeline Network is a national humanitarian organization  providing access to comprehensive dental services for people with disabilities or who are elderly or medically at-risk. 
","Medicaid covers dental. However, MEDICARE does not.  Dental Lifeline offers donated services to cover this gap when appropriate. These are dentists that donate their services to (1) permanently disabled, (2) medically at risk, (3) 65 yrs or older.",Dental Care,Email cmontero@dentallifeline.org  or call 212-598-9000,Dental Lifeline Network,United States,"Individuals, Families, Disabled, Seniors","(1) permanently disabled, (2) medically at risk, (3) 65 yrs or older",,,,http://nfdh.org ,cmontero@dentallifeline.org ,(212) 598-9000,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Disaster Chaplaincy Services,109,,Services,Mental Health & Crisis Counseling,Health and Crisis Counseling,"Disaster Chaplaincy Services is a nonsectarian organization whose purpose is to assure skilled and appropriate interdisciplinary spiritual care for all people affected by disasters in the New York tri‐state area. We do this by recruiting, screening, orienting, training, educating, deploying and supervising chaplains on behalf of the religious communities of the tri‐state region.",Our volunteer corps is made up of over 140 chaplains representing 28 faith traditions and come from a diversity of ethnic backgrounds speaking 30 different languages.,"Counseling, Support services",Call 24 hour hotline 646-210-9321,Disaster Chaplaincy Services,New York tri-state area,Disaster survivors,,,"PO Box 7373, New York, NY 10116",,www.disasterchaplaincy.org,info@dcs-ny.org, (646) 210-9321,"24 hours a day, 7 days a week",,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Disaster Distress Helpline,110,,Services,"Mental Health & Crisis Counseling, Referral Services",Health and Crisis Counseling,"The Disaster Distress Helpline offers 24/7/365 disaster crisis counseling and support to anyone, anywhere in the US via a toll-free, multi-lingual hotline (800-985-5990) and SMS (text ‘TalkWithUs’ to 66746; Spanish-speakers can text ‘Hablanos’ to 66746).",,"Counseling, Support services",Call 24 hour hotline hotline (800-985-5990) or text ‘TalkWithUs’ to 66746; Spanish-speakers can text ‘Hablanos’ to 66746.,Disaster Distress Helpline,United States,Disaster survivors,,,,Spanish,disasterdistress.samhsa.gov/,jsamalin@mhaofnyc.org,(800) 985-5990,"24 hours a day, 7 days a week"," Joe Samalin, Outreach and Training manager",,,,,New York Hurricane Sandy Disaster Recovery Resources,,
The New York City Department of Health and Mental Hygiene - Recovery and Your Health,111,NYC DOHMH,Services,"Medical/Health Care, Referral Services",Health and Crisis Counseling,"New Yorkers living in communities affected by Hurricane Sandy face many challenges as they rebuild their homes and their lives. NYC DOHMH'ssite provides information on health issues associated with living in flood-damaged areas and around large-scale reconstruction, and on resources that are available.","Website includes information on how to make home repairs safely – controlling dust, removing mold, cleaning sewage backups; Updates on water and air quality;  Tips for staying healthy; Stress and mental health issues;  Press releases for communities affected by the hurricane
","Disaster recovery information, Safety information",Visit http://www.nyc.gov/html/doh/em/html/home/home.shtml,NYC DOHMH,New York City,Disaster survivors,,,,"Some information available in Spanish, Chinese, Russian",http://www.nyc.gov/html/doh/em/html/home/home.shtml,,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Jewish Board of Family and Children's Services,112,,Services,"Mental Health & Crisis Counseling, Medical/Health Care",Health and Crisis Counseling,Provides a comprehensive network of mental health and social services for individuals and families at every stage of life. Provide mental health and budget counseling. Monday through Friday 9am to 5 pm Must have appointment.,,Medical care,Call 212-582-9100 or toll-free 1-888-523-2769; visit www.jbfcs.org,Jewish Board of Family and Children's Services,New York City,"Individuals, Families",,Must make an appointment.,"135 West 50th St, New York, NY 10020",,www.jbfcs.org,,(212) 582-9100; (888) 523-2769,"M-F, 9 to 5",,,,,,New York Hurricane Sandy Disaster Recovery Resources,,212-582-9100 or toll-free 1-888-523-2769
LIFENET,113,,Services,Mental Health & Crisis Counseling,Health and Crisis Counseling,"If you feel overwhelmed and unable to cope, if stress is interfering with daily functioning, or if you are concerned about someone else, call 1-800 LIFENET, 24 hours/7 days a week.",,"Counseling, Support services","Call 1-800 LIFENET, 24 hours/7 days a week; 1-877-298-3373 (Spanish); 1-877-990-8585 (Chinese); 1-212-982-5284 (TTY)",LIFENET,New York City,"Individuals, Families, Caregivers",,,,"Spanish, Chinese",http://www.nyc.gov/html/doh/html/mental/lifenet.shtml,,(800) 543-3638; (877) 298-3373; (877) 990-8585; (212) 982-5284,"24 hours a day, 7 days a week",,,,,,New York Hurricane Sandy Disaster Recovery Resources,,1-800-543-3638 (English) 1-877-298-3373 (Spanish) 1-877-990-8585 (Chinese) 1-212-982-5284 (TTY)
